session,experiment,rolling_63d_correlation
2021-09-21,S00,0.12402110397583772
2021-09-22,S00,0.08438675958229223
2021-09-23,S00,0.09152322585176247
2021-09-24,S00,0.08896818320231156
2021-09-27,S00,0.10137637973986056
2021-09-28,S00,0.1416026355132117
2021-09-29,S00,0.14035781038080553
2021-09-30,S00,0.08776320743525856
2021-10-01,S00,0.05639022000950492
2021-10-04,S00,0.10233529133256368
2021-10-05,S00,0.1419844063710823
2021-10-06,S00,0.14553990511172357
2021-10-07,S00,0.11625736417266956
2021-10-08,S00,0.12585552290634555
2021-10-11,S00,0.13833160138299
2021-10-12,S00,0.1422583742775683
2021-10-13,S00,0.14027336729577114
2021-10-14,S00,0.16808709824289148
2021-10-15,S00,0.21426934961341199
2021-10-18,S00,0.12906809023643934
2021-10-19,S00,0.114372741319097
2021-10-20,S00,0.11445058988289444
2021-10-21,S00,0.11625467506875051
2021-10-22,S00,0.11301169385300756
2021-10-25,S00,0.10076361950517125
2021-10-26,S00,0.10573092020729397
2021-10-27,S00,0.10365930585123573
2021-10-28,S00,0.08680014463572468
2021-10-29,S00,0.08551808713026379
2021-11-01,S00,0.08619701441565082
2021-11-02,S00,0.07328972261735568
2021-11-03,S00,0.023382580550744204
2021-11-04,S00,0.022128681410278562
2021-11-05,S00,0.03189963371417875
2021-11-08,S00,0.03010632399904173
2021-11-09,S00,0.016039892135919585
2021-11-10,S00,0.024888732167509912
2021-11-11,S00,0.02451974425645716
